Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,48.937500,49.281250,48.312500,48.312500,36.340450,5705600
2000-01-03,49.750000,51.937500,48.062500,51.437500,38.691067,10815600
2000-01-04,50.750000,50.812500,48.875000,49.250000,37.045643,7952400
2000-01-05,49.250000,49.625000,47.812500,48.062500,36.152401,12142400
2000-01-06,48.187500,48.750000,45.250000,46.750000,35.165134,11758400
2000-01-07,46.281250,47.562500,45.687500,47.000000,35.353218,12938800
2000-01-10,49.218750,50.625000,48.750000,50.218750,37.774323,9371200
2000-01-11,50.250000,51.437500,49.281250,49.750000,37.421734,7636400
2000-01-12,49.625000,51.531250,49.218750,50.500000,37.985878,6697600
2000-01-13,51.250000,51.906250,49.312500,51.187500,38.503010,6548200
2000-01-14,52.437500,54.062500,52.375000,53.937500,40.571552,8829000
2000-01-18,52.500000,55.687500,52.500000,55.187500,41.511791,8800800
2000-01-19,55.968750,56.000000,54.687500,54.750000,41.182713,6658400
2000-01-20,56.000000,57.531250,55.406250,56.437500,42.452038,9374600
2000-01-21,57.375000,57.562500,54.968750,55.398399,41.670425,8594600
2000-01-24,57.250000,58.750000,54.000000,55.437500,41.699863,10265000
2000-01-25,56.437500,58.625000,55.562500,56.937500,42.828144,15104800
2000-01-26,56.656250,56.750000,54.937500,56.250000,42.311005,8639600
2000-01-27,56.125000,58.250000,54.843750,56.500000,42.531261,9990800
2000-01-28,56.031250,56.625000,52.468750,53.562500,40.320004,9993400
2000-01-31,53.468750,54.000000,51.000000,53.875000,40.555267,9603000
2000-02-01,53.812500,56.687500,52.937500,56.562500,42.578312,7616600
2000-02-02,57.687500,60.250000,57.218750,59.687500,44.930721,10920800
2000-02-03,60.500000,67.250000,60.281250,67.000000,50.435303,14903400
2000-02-04,65.875000,69.500000,65.125000,66.000000,49.682560,11947600
2000-02-07,65.625000,67.718750,65.625000,67.250000,50.623508,7854400
2000-02-08,67.562500,69.812500,67.375000,69.437500,52.270180,7639600
2000-02-09,69.562500,71.562500,69.062500,70.437500,53.022945,9807600
2000-02-10,70.312500,72.500000,69.000000,72.500000,54.575539,6801800
2000-02-11,71.500000,71.625000,68.000000,68.812500,51.799694,8288600
2000-02-14,69.375000,69.625000,66.000000,67.312500,50.670532,8250200
2000-02-15,67.312500,67.906250,65.125000,67.468750,50.788170,7677600
2000-02-16,67.937500,69.875000,67.656250,67.875000,51.093971,8574000
2000-02-17,67.968750,72.500000,67.968750,71.500000,53.822746,8459800
2000-02-18,72.500000,72.500000,67.000000,67.000000,50.435303,9154600
2000-02-22,71.000000,75.000000,68.750000,74.500000,56.081059,15547200
2000-02-23,74.406250,76.562500,72.250000,73.562500,55.375332,11989800
2000-02-24,74.500000,79.500000,74.312500,78.875000,59.374397,13451600
2000-02-25,78.687500,80.375000,76.375000,76.625000,57.680664,9430200
2000-02-28,76.625000,78.750000,73.000000,77.937500,58.668678,12205400
2000-02-29,78.500000,84.843750,78.500000,83.062500,62.526608,11302200
2000-03-01,83.718750,85.000000,78.875000,82.187500,61.867939,10125800
2000-03-02,82.031250,87.687500,80.000000,86.500000,65.114212,11208200
2000-03-03,89.000000,94.062500,89.000000,93.812500,70.618835,13211200
2000-03-06,96.125000,99.781250,90.750000,93.000000,70.007225,12745000
2000-03-07,93.750000,93.968750,87.812500,90.000000,67.748940,10917000
2000-03-08,90.000000,90.125000,84.156250,86.000000,64.737823,12086200
2000-03-09,86.000000,90.468750,83.812500,90.000000,67.748940,9660000
2000-03-10,90.187500,92.000000,86.750000,90.375000,68.031181,8506000
2000-03-13,86.750000,89.375000,85.500000,85.875000,64.643753,8810600
2000-03-14,87.000000,88.187500,76.562500,78.250000,58.903946,12852600
2000-03-15,78.750000,78.750000,73.000000,73.500000,55.328274,18261000
2000-03-16,75.062500,80.968750,71.906250,80.000000,60.221245,15793800
2000-03-17,80.000000,85.375000,79.062500,84.937500,63.938061,12554600
2000-03-20,85.000000,87.593750,82.250000,83.562500,62.902996,8981800
2000-03-21,83.500000,86.250000,80.937500,85.625000,64.455559,7923400
2000-03-22,87.000000,90.250000,83.875000,89.000000,66.996140,9254600
2000-03-23,89.000000,91.437500,86.250000,87.125000,65.584740,8781800
2000-03-24,88.125000,92.468750,86.000000,88.281250,66.455124,10100800
2000-03-27,88.000000,91.718750,88.000000,90.468750,68.101761,8098200
2000-03-28,90.250000,90.437500,87.750000,89.437500,67.325485,8277600
2000-03-29,89.000000,89.500000,84.250000,85.406250,64.290871,10445400
2000-03-30,85.406250,85.500000,77.500000,81.562500,61.397449,12646200
2000-03-31,82.500000,83.500000,78.500000,80.000000,60.221245,13718400
2000-04-03,80.000000,80.281250,74.875000,75.375000,56.739716,11295600
2000-04-04,75.500000,76.625000,64.125000,72.875000,54.857815,24174800
2000-04-05,72.968750,80.093750,71.187500,75.000000,56.457424,15996000
2000-04-06,78.000000,81.000000,77.125000,80.000000,60.221245,10249800
2000-04-07,82.000000,83.312500,80.375000,83.250000,62.667747,7803000
2000-04-10,83.750000,84.500000,77.625000,78.187500,58.856869,7877200
2000-04-11,76.000000,77.937500,73.031250,75.000000,56.457424,13802800
2000-04-12,75.250000,76.875000,69.250000,70.250000,52.881817,12635400
2000-04-13,70.812500,74.875000,68.625000,70.937500,53.399319,12616200
2000-04-14,69.562500,70.906250,64.781250,69.500000,52.317211,15033800
2000-04-17,65.375000,79.500000,65.375000,74.500000,56.081059,16798400
2000-04-18,72.812500,75.000000,68.500000,75.000000,56.457424,21243200
2000-04-19,75.000000,76.500000,71.312500,71.500000,53.822746,11299800
2000-04-20,72.500000,74.468750,71.812500,72.500000,54.575539,8532400
2000-04-24,71.000000,72.781250,69.875000,70.625000,53.164074,8591800
2000-04-25,73.687500,76.000000,72.812500,76.000000,57.210205,8429400
2000-04-26,77.500000,77.968750,73.875000,74.500000,56.081059,7174800
2000-04-27,73.375000,81.437500,73.000000,79.750000,60.067398,9612200
2000-04-28,81.000000,84.375000,81.000000,81.437500,61.338436,9997600
2000-05-01,81.875000,82.718750,78.562500,80.000000,60.255703,8312600
2000-05-02,78.906250,82.250000,77.750000,77.750000,58.561031,8252200
2000-05-03,77.750000,78.937500,72.718750,75.906250,57.172337,8063800
2000-05-04,76.250000,78.437500,74.531250,77.750000,58.561031,8952400
2000-05-05,78.750000,80.218750,76.437500,76.906250,57.925503,7486400
2000-05-08,77.468750,77.718750,73.000000,73.406250,55.289307,6999000
2000-05-09,73.406250,74.500000,69.437500,70.656250,53.218018,11576400
2000-05-10,69.500000,69.500000,64.500000,66.437500,50.040493,14795800
2000-05-11,65.875000,70.562500,65.500000,70.000000,52.723743,9575200
2000-05-12,71.437500,73.125000,69.750000,70.625000,53.194492,8086000
2000-05-15,70.375000,72.250000,67.625000,71.343750,53.735867,7233400
2000-05-16,73.062500,74.500000,71.437500,73.937500,55.689438,7119600
2000-05-17,73.812500,75.500000,71.531250,72.437500,54.559685,8821200
2000-05-18,72.937500,73.937500,71.375000,72.531250,54.630272,6360000
2000-05-19,71.000000,71.500000,67.875000,69.750000,52.535461,9401800
2000-05-22,68.781250,69.125000,64.562500,66.875000,50.370029,13305400
2000-05-23,68.000000,68.750000,64.000000,64.000000,48.204571,6087000
2000-05-24,64.125000,69.437500,60.125000,68.375000,51.499813,9135500
2000-05-25,71.750000,73.562500,69.375000,70.000000,52.723743,9748900
2000-05-26,68.000000,69.187500,65.062500,67.000000,50.464157,4726600
2000-05-30,70.000000,72.625000,68.750000,72.250000,54.418442,6134700
2000-05-31,72.500000,73.375000,70.250000,72.250000,54.418442,7722100
2000-06-01,74.375000,78.625000,73.875000,78.125000,58.843472,6912700
2000-06-02,83.000000,89.000000,82.500000,85.687500,64.539505,11159600
2000-06-05,83.750000,85.500000,80.500000,84.000000,63.268517,5341600
2000-06-06,84.062500,85.250000,80.000000,80.500000,60.632324,5502700
2000-06-07,82.000000,84.250000,78.937500,82.875000,62.421162,5388300
2000-06-08,84.000000,84.750000,80.875000,81.750000,61.573799,4744700
2000-06-09,83.625000,85.000000,81.937500,83.750000,63.080185,4066900
2000-06-12,83.000000,83.625000,78.125000,79.125000,59.596649,5086700
2000-06-13,80.500000,83.250000,78.562500,83.250000,62.703602,5631000
2000-06-14,83.500000,85.000000,81.562500,81.875000,61.667988,6662500
2000-06-15,81.625000,83.000000,78.500000,80.500000,60.632324,6712800
2000-06-16,78.500000,82.000000,78.500000,82.000000,61.762081,5308600
2000-06-19,80.875000,88.875000,80.875000,87.750000,66.092987,6370800
2000-06-20,87.312500,90.000000,86.000000,86.875000,65.433937,7393300
2000-06-21,86.000000,88.000000,80.000000,82.000000,61.762081,5574800
2000-06-22,82.250000,85.375000,79.250000,81.625000,61.479652,16771500
2000-06-23,79.500000,79.500000,74.000000,75.750000,57.054619,13886900
2000-06-26,75.000000,76.125000,73.000000,74.750000,56.301422,9962900
2000-06-27,74.750000,74.750000,71.750000,71.750000,54.041862,7373300
2000-06-28,73.750000,74.437500,71.250000,71.625000,53.947716,8286300
2000-06-29,71.000000,73.625000,67.937500,69.000000,51.970551,9523500
2000-06-30,69.437500,71.500000,68.187500,68.687500,51.735161,8848800
2000-07-03,69.000000,69.750000,68.562500,69.000000,51.970551,3797100
2000-07-05,64.250000,66.000000,63.750000,65.750000,49.522671,15001800
2000-07-06,65.875000,67.312500,64.562500,67.000000,50.464157,11724900
2000-07-07,68.250000,70.437500,67.875000,69.000000,51.970551,9242400
